001  00226 |Loss: 1.769 | Acc: 34.413% 
001  00227 |Loss: 1.767 | Acc: 34.458% 
001  00228 |Loss: 1.766 | Acc: 34.512% 
001  00229 |Loss: 1.765 | Acc: 34.546% 
001  00230 |Loss: 1.764 | Acc: 34.572% 
001  00231 |Loss: 1.764 | Acc: 34.568% 
001  00232 |Loss: 1.763 | Acc: 34.601% 
001  00233 |Loss: 1.762 | Acc: 34.620% 
001  00234 |Loss: 1.761 | Acc: 34.649% 
001  00235 |Loss: 1.760 | Acc: 34.691% 
001  00236 |Loss: 1.759 | Acc: 34.726% 
001  00237 |Loss: 1.758 | Acc: 34.777% 
001  00238 |Loss: 1.757 | Acc: 34.805% 
001  00239 |Loss: 1.756 | Acc: 34.823% 
001  00240 |Loss: 1.755 | Acc: 34.867% 
001  00241 |Loss: 1.755 | Acc: 34.877% 
001  00242 |Loss: 1.753 | Acc: 34.943% 
001  00243 |Loss: 1.752 | Acc: 35.002% 
001  00244 |Loss: 1.750 | Acc: 35.041% 
001  00245 |Loss: 1.749 | Acc: 35.105% 
001  00246 |Loss: 1.747 | Acc: 35.134% 
001  00247 |Loss: 1.746 | Acc: 35.178% 
001  00248 |Loss: 1.746 | Acc: 35.216% 
001  00249 |Loss: 1.745 | Acc: 35.232% 
001  00250 |Loss: 1.744 | Acc: 35.269% 
001  00251 |Loss: 1.743 | Acc: 35.324% 
001  00252 |Loss: 1.742 | Acc: 35.373% 
001  00253 |Loss: 1.740 | Acc: 35.431% 
001  00254 |Loss: 1.739 | Acc: 35.510% 
001  00255 |Loss: 1.737 | Acc: 35.558% 
001  00256 |Loss: 1.737 | Acc: 35.605% 
001  00257 |Loss: 1.735 | Acc: 35.618% 
001  00258 |Loss: 1.735 | Acc: 35.671% 
001  00259 |Loss: 1.734 | Acc: 35.699% 
001  00260 |Loss: 1.733 | Acc: 35.694% 
001  00261 |Loss: 1.732 | Acc: 35.728% 
001  00262 |Loss: 1.731 | Acc: 35.776% 
001  00263 |Loss: 1.729 | Acc: 35.842% 
001  00264 |Loss: 1.728 | Acc: 35.875% 
001  00265 |Loss: 1.727 | Acc: 35.935% 
001  00266 |Loss: 1.726 | Acc: 35.976% 
001  00267 |Loss: 1.725 | Acc: 36.008% 
001  00268 |Loss: 1.724 | Acc: 36.072% 
001  00269 |Loss: 1.723 | Acc: 36.103% 
001  00270 |Loss: 1.722 | Acc: 36.131% 
001  00271 |Loss: 1.721 | Acc: 36.177% 
001  00272 |Loss: 1.720 | Acc: 36.210% 
001  00273 |Loss: 1.719 | Acc: 36.229% 
001  00274 |Loss: 1.718 | Acc: 36.297% 
001  00275 |Loss: 1.717 | Acc: 36.330% 
001  00276 |Loss: 1.716 | Acc: 36.385% 
001  00277 |Loss: 1.716 | Acc: 36.397% 
001  00278 |Loss: 1.715 | Acc: 36.441% 
001  00279 |Loss: 1.713 | Acc: 36.509% 
001  00280 |Loss: 1.712 | Acc: 36.571% 
001  00281 |Loss: 1.711 | Acc: 36.608% 
001  00282 |Loss: 1.710 | Acc: 36.636% 
001  00283 |Loss: 1.709 | Acc: 36.658% 
001  00284 |Loss: 1.709 | Acc: 36.699% 
001  00285 |Loss: 1.708 | Acc: 36.746% 
001  00286 |Loss: 1.706 | Acc: 36.801% 
001  00287 |Loss: 1.706 | Acc: 36.825% 
001  00288 |Loss: 1.705 | Acc: 36.844% 
001  00289 |Loss: 1.704 | Acc: 36.889% 
001  00290 |Loss: 1.703 | Acc: 36.945% 
001  00291 |Loss: 1.701 | Acc: 37.027% 
001  00292 |Loss: 1.700 | Acc: 37.045% 
001  00293 |Loss: 1.699 | Acc: 37.087% 
001  00294 |Loss: 1.699 | Acc: 37.112% 
001  00295 |Loss: 1.698 | Acc: 37.127% 
001  00296 |Loss: 1.697 | Acc: 37.162% 
001  00297 |Loss: 1.696 | Acc: 37.174% 
001  00298 |Loss: 1.696 | Acc: 37.217% 
001  00299 |Loss: 1.695 | Acc: 37.257% 
001  00300 |Loss: 1.694 | Acc: 37.307% 
001  00301 |Loss: 1.693 | Acc: 37.311% 
001  00302 |Loss: 1.692 | Acc: 37.342% 
001  00303 |Loss: 1.692 | Acc: 37.387% 
001  00304 |Loss: 1.691 | Acc: 37.415% 
001  00305 |Loss: 1.690 | Acc: 37.428% 
001  00306 |Loss: 1.690 | Acc: 37.451% 
001  00307 |Loss: 1.689 | Acc: 37.497% 
001  00308 |Loss: 1.688 | Acc: 37.541% 
001  00309 |Loss: 1.686 | Acc: 37.571% 
001  00310 |Loss: 1.686 | Acc: 37.583% 
001  00311 |Loss: 1.685 | Acc: 37.621% 
001  00312 |Loss: 1.684 | Acc: 37.653% 
001  00313 |Loss: 1.683 | Acc: 37.697% 
001  00314 |Loss: 1.683 | Acc: 37.736% 
001  00315 |Loss: 1.682 | Acc: 37.768% 
001  00316 |Loss: 1.681 | Acc: 37.799% 
001  00317 |Loss: 1.680 | Acc: 37.823% 
001  00318 |Loss: 1.680 | Acc: 37.854% 
001  00319 |Loss: 1.678 | Acc: 37.914% 
001  00320 |Loss: 1.677 | Acc: 37.947% 
001  00321 |Loss: 1.677 | Acc: 37.992% 
001  00322 |Loss: 1.676 | Acc: 38.010% 
001  00323 |Loss: 1.675 | Acc: 38.056% 
001  00324 |Loss: 1.674 | Acc: 38.084% 
001  00325 |Loss: 1.674 | Acc: 38.094% 
001  00326 |Loss: 1.673 | Acc: 38.142% 
001  00327 |Loss: 1.672 | Acc: 38.193% 
001  00328 |Loss: 1.671 | Acc: 38.243% 
001  00329 |Loss: 1.670 | Acc: 38.286% 
001  00330 |Loss: 1.669 | Acc: 38.336% 
001  00331 |Loss: 1.668 | Acc: 38.359% 
001  00332 |Loss: 1.667 | Acc: 38.387% 
001  00333 |Loss: 1.666 | Acc: 38.406% 
001  00334 |Loss: 1.666 | Acc: 38.403% 
001  00335 |Loss: 1.666 | Acc: 38.438% 
001  00336 |Loss: 1.665 | Acc: 38.458% 
001  00337 |Loss: 1.665 | Acc: 38.495% 
001  00338 |Loss: 1.664 | Acc: 38.531% 
001  00339 |Loss: 1.663 | Acc: 38.551% 
001  00340 |Loss: 1.663 | Acc: 38.580% 
001  00341 |Loss: 1.662 | Acc: 38.607% 
001  00342 |Loss: 1.661 | Acc: 38.628% 
001  00343 |Loss: 1.661 | Acc: 38.662% 
001  00344 |Loss: 1.660 | Acc: 38.690% 
001  00345 |Loss: 1.659 | Acc: 38.718% 
001  00346 |Loss: 1.659 | Acc: 38.731% 
001  00347 |Loss: 1.658 | Acc: 38.754% 
001  00348 |Loss: 1.657 | Acc: 38.784% 
001  00349 |Loss: 1.656 | Acc: 38.819% 
001  00350 |Loss: 1.655 | Acc: 38.859% 
001  00351 |Loss: 1.655 | Acc: 38.904% 
001  00352 |Loss: 1.654 | Acc: 38.952% 
001  00353 |Loss: 1.653 | Acc: 38.987% 
001  00354 |Loss: 1.651 | Acc: 39.029% 
001  00355 |Loss: 1.651 | Acc: 39.069% 
001  00356 |Loss: 1.650 | Acc: 39.100% 
001  00357 |Loss: 1.649 | Acc: 39.113% 
001  00358 |Loss: 1.648 | Acc: 39.145% 
001  00359 |Loss: 1.648 | Acc: 39.173% 
001  00360 |Loss: 1.648 | Acc: 39.191% 
001  00361 |Loss: 1.646 | Acc: 39.240% 
001  00362 |Loss: 1.645 | Acc: 39.280% 
001  00363 |Loss: 1.644 | Acc: 39.319% 
001  00364 |Loss: 1.643 | Acc: 39.372% 
001  00365 |Loss: 1.642 | Acc: 39.399% 
001  00366 |Loss: 1.642 | Acc: 39.413% 
001  00367 |Loss: 1.641 | Acc: 39.465% 
001  00368 |Loss: 1.640 | Acc: 39.498% 
001  00369 |Loss: 1.639 | Acc: 39.533% 
001  00370 |Loss: 1.638 | Acc: 39.559% 
001  00371 |Loss: 1.638 | Acc: 39.587% 
001  00372 |Loss: 1.637 | Acc: 39.613% 
001  00373 |Loss: 1.636 | Acc: 39.653% 
001  00374 |Loss: 1.636 | Acc: 39.672% 
001  00375 |Loss: 1.635 | Acc: 39.702% 
001  00376 |Loss: 1.634 | Acc: 39.744% 
001  00377 |Loss: 1.633 | Acc: 39.780% 
001  00378 |Loss: 1.633 | Acc: 39.809% 
001  00379 |Loss: 1.632 | Acc: 39.817% 
001  00380 |Loss: 1.632 | Acc: 39.821% 
001  00381 |Loss: 1.631 | Acc: 39.848% 
001  00382 |Loss: 1.631 | Acc: 39.881% 
001  00383 |Loss: 1.630 | Acc: 39.893% 
001  00384 |Loss: 1.629 | Acc: 39.933% 
001  00385 |Loss: 1.629 | Acc: 39.961% 
001  00386 |Loss: 1.628 | Acc: 40.002% 
001  00387 |Loss: 1.627 | Acc: 40.025% 
001  00388 |Loss: 1.626 | Acc: 40.051% 
